Structural coupling rotation pipeline run log
started_at: 2026-03-23T17:27:34.723304
project_root: C:\Users\mincu\Desktop\topological_gravity_project
data_dir: C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized
output_root: C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_structural_coupling
run_dir: C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_structural_coupling\2026-03-23_172734_local_structural_coupling_v4
beta_mode: local_structural_coupling_v4
beta_value: 200.0
n_input_files: 175
------------------------------------------------------------------------
[123/175] [OK] UGC05721 | beta_mean=72.1566 | eta_mean=0.498726 | ratio_max=0.600932 | sigma_flip=602.548 | rmse=47.6422 | mafe=0.578
[124/175] [OK] UGC05750 | beta_mean=91.5975 | eta_mean=0.437752 | ratio_max=0.640053 | sigma_flip=3.59825 | rmse=22.6251 | mafe=0.356404
[125/175] [OK] UGC05764 | beta_mean=98.498 | eta_mean=0.446659 | ratio_max=0.602809 | sigma_flip=26.1194 | rmse=30.672 | mafe=0.642203
[126/175] [OK] UGC05829 | beta_mean=81.0265 | eta_mean=0.432977 | ratio_max=0.455252 | sigma_flip=9.72625 | rmse=18.6238 | mafe=0.374413
[127/175] [OK] UGC05918 | beta_mean=72.4545 | eta_mean=0.450735 | ratio_max=0.539899 | sigma_flip=6.36984 | rmse=20.3516 | mafe=0.532304
[128/175] [OK] UGC05986 | beta_mean=66.5989 | eta_mean=0.468836 | ratio_max=0.596361 | sigma_flip=28.3759 | rmse=56.5478 | mafe=0.493297
[129/175] [OK] UGC05999 | beta_mean=64.0534 | eta_mean=0.443793 | ratio_max=0.397823 | sigma_flip=8.31552 | rmse=44.3982 | mafe=0.479194
[130/175] [OK] UGC06399 | beta_mean=82.4291 | eta_mean=0.458177 | ratio_max=0.598184 | sigma_flip=35.1587 | rmse=38.9444 | mafe=0.432006
[131/175] [OK] UGC06446 | beta_mean=78.0931 | eta_mean=0.453476 | ratio_max=0.573866 | sigma_flip=7.78557 | rmse=47.3786 | mafe=0.620463
[132/175] [OK] UGC06614 | beta_mean=87.2942 | eta_mean=0.470216 | ratio_max=0.477913 | sigma_flip=31.3321 | rmse=60.3535 | mafe=0.256039
[133/175] [OK] UGC06628 | beta_mean=79.7115 | eta_mean=0.455692 | ratio_max=0.498019 | sigma_flip=10.318 | rmse=5.76611 | mafe=0.135786
[134/175] [OK] UGC06667 | beta_mean=100.13 | eta_mean=0.46707 | ratio_max=0.522354 | sigma_flip=8.3439 | rmse=45.6123 | mafe=0.650924
[135/175] [OK] UGC06786 | beta_mean=76.0914 | eta_mean=0.4429 | ratio_max=0.565359 | sigma_flip=1099.45 | rmse=81.0911 | mafe=0.327914
[136/175] [OK] UGC06787 | beta_mean=74.1965 | eta_mean=0.480103 | ratio_max=0.528348 | sigma_flip=1950.27 | rmse=84.1809 | mafe=0.306956
[137/175] [OK] UGC06818 | beta_mean=67.5387 | eta_mean=0.449066 | ratio_max=0.582138 | sigma_flip=12.7778 | rmse=29.3129 | mafe=0.36819
[138/175] [OK] UGC06917 | beta_mean=70.9591 | eta_mean=0.484695 | ratio_max=0.513569 | sigma_flip=21.6859 | rmse=47.8441 | mafe=0.473076
[139/175] [OK] UGC06923 | beta_mean=71.5599 | eta_mean=0.449597 | ratio_max=0.550835 | sigma_flip=111.481 | rmse=29.0819 | mafe=0.33866
[140/175] [OK] UGC06930 | beta_mean=92.6246 | eta_mean=0.470073 | ratio_max=0.566279 | sigma_flip=11.8991 | rmse=49.1896 | mafe=0.466441
